Unnamed: 0,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_url,incident_dateonly_extinguished,incident_dateonly_created,geometry,index,Air max,Bulb wet,County,Date,ETo,Evap,Precip,RH max,Soil max,Solar,Wind dir,Wx,dry,Air min,Soil min,RH min,obs,speed,type
594,Mariposa,630,-119.9646,37.3762,https://www.fire.ca.gov/incidents/2017/6/28/ben-fire/,2018-01-09,2017-06-28,POINT (-119.9646 37.3762),1639,76.0,,Mariposa,2017-06-28,,,0.02,,,,,,,47.0,,,,,
595,San Diego,0,-117.58252,33.43513,https://www.fire.ca.gov/incidents/2017/6/28/cristianitos-fire/,2018-01-09,2017-06-28,POINT (-117.58252 33.43513),1639,82.14285714285714,,San Diego,2017-06-28,0.2466666666666667,,0.0,84.0,81.6,699.0,0.0,,,59.0,72.8,46.4,,0.0,
596,Kern,1200,-118.80123,35.38298,https://www.fire.ca.gov/incidents/2017/6/30/tarina-fire/,2018-01-09,2017-06-30,POINT (-118.80123 35.38298),1641,95.85714285714286,,Kern,2017-06-30,0.29500000000000004,,0.0,70.75,84.4,711.6,0.0,,,61.28571428571429,80.8,20.0,,0.0,
597,Monterey,42,-121.08753,35.96275,https://www.fire.ca.gov/incidents/2017/6/29/lockwood-fire/,2018-01-09,2017-06-29,POINT (-121.08753 35.96275),1640,70.18181818181819,,Monterey,2017-06-29,0.17833333333333334,,0.004545454545454546,95.71428571428572,70.5,561.25,0.0,,,53.09090909090909,68.0,66.85714285714286,,0.0,
598,Los Angeles,55,-118.58624,34.03941,https://www.fire.ca.gov/incidents/2017/6/29/topanga-fire/,2018-01-09,2017-06-29,POINT (-118.58624 34.03941),1640,80.28571428571429,,Los Angeles,2017-06-29,0.23714285714285716,,0.0,87.2857142857143,73.16666666666667,695.4285714285713,0.0,,,59.42857142857143,71.16666666666667,50.85714285714285,,0.0,
599,Los Angeles,41,-118.70293999999998,34.10446,https://www.fire.ca.gov/incidents/2017/6/29/stokes-fire/,2018-01-09,2017-06-29,POINT (-118.70294 34.10446),1640,80.28571428571429,,Los Angeles,2017-06-29,0.23714285714285716,,0.0,87.2857142857143,73.16666666666667,695.4285714285713,0.0,,,59.42857142857143,71.16666666666667,50.85714285714285,,0.0,
600,Shasta,128,-122.0122,40.69554,https://www.fire.ca.gov/incidents/2017/7/1/oak-fire/,2018-01-09,2017-07-01,POINT (-122.0122 40.69554),1642,93.8,,Shasta,2017-07-01,0.27,0.26,0.004,84.0,69.0,705.5,0.0,,,58.4,65.5,25.0,,0.0,
601,Nevada,10,-121.06656,39.08382,https://www.fire.ca.gov/incidents/2017/7/2/brewer-fire/,2018-01-09,2017-07-02,POINT (-121.06656 39.08382),1643,86.0,,Nevada,2017-07-02,,,0.0,,,,,,,55.0,,,,,
602,Riverside,11,-117.096233,33.913089,https://www.fire.ca.gov/incidents/2017/7/2/lisa-fire/,2018-01-09,2017-07-02,POINT (-117.096233 33.913089),1643,99.84615384615385,,Riverside,2017-07-02,0.30375,,0.0,75.625,83.0,707.1111111111112,0.0,,,66.30769230769229,78.44444444444444,20.0,66.0,0.0,
603,Butte,14,-121.6268,39.8629,https://www.fire.ca.gov/incidents/2017/7/2/desabla-fire/,2018-01-09,2017-07-02,POINT (-121.6268 39.8629),1643,93.0,,Butte,2017-07-02,0.25,0.4,0.0,95.0,78.0,713.0,0.0,,,64.0,76.0,47.0,,0.0,
604,Mariposa,225,-119.921,37.4591,https://www.fire.ca.gov/incidents/2017/7/2/spring-fire/,2018-01-09,2017-07-02,POINT (-119.921 37.4591),1643,77.0,,Mariposa,2017-07-02,,,0.0,,,,,,,48.0,,,,,
605,Fresno,1538,-120.620791,36.269125,https://www.fire.ca.gov/incidents/2017/7/2/derrick-fire/,2018-01-09,2017-07-02,POINT (-120.620791 36.269125),1643,96.76923076923076,,Fresno,2017-07-02,0.28500000000000003,,0.0,71.625,80.0,686.375,0.0,,,58.5,75.875,21.125,,0.0,
606,Riverside,30,-117.25411,33.96896,https://www.fire.ca.gov/incidents/2017/7/3/timber-fire/,2018-01-09,2017-07-03,POINT (-117.25411 33.96896),1644,103.23076923076924,,Riverside,2017-07-03,0.30375,,0.0,73.125,83.33333333333333,691.8888888888888,0.0,,,66.84615384615384,78.33333333333333,14.25,79.0,0.4444444444444444,
607,Riverside,10,-116.99321,33.91806,https://www.fire.ca.gov/incidents/2017/7/3/canyon-fire/,2018-01-09,2017-07-03,POINT (-116.99321 33.91806),1644,103.23076923076924,,Riverside,2017-07-03,0.30375,,0.0,73.125,83.33333333333333,691.8888888888888,0.0,,,66.84615384615384,78.33333333333333,14.25,79.0,0.4444444444444444,
608,Riverside,50,-117.16215,33.877390000000005,https://www.fire.ca.gov/incidents/2017/7/3/lago-fire/,2018-01-09,2017-07-03,POINT (-117.16215 33.87739000000001),1644,103.23076923076924,,Riverside,2017-07-03,0.30375,,0.0,73.125,83.33333333333333,691.8888888888888,0.0,,,66.84615384615384,78.33333333333333,14.25,79.0,0.4444444444444444,
609,San Benito,34,-121.30983,36.85596,https://www.fire.ca.gov/incidents/2017/7/4/valley-fire/,2018-01-09,2017-07-04,POINT (-121.30983 36.85596),1645,82.66666666666667,,San Benito,2017-07-04,0.23,,0.013333333333333334,97.0,73.5,653.5,0.0,,,53.33333333333334,69.0,38.0,,0.0,
610,San Bernardino,13,-117.3125,34.304722,https://www.fire.ca.gov/incidents/2017/7/4/silver-fire/,2018-01-09,2017-07-04,POINT (-117.3125 34.304722),1645,103.25,,San Bernardino,2017-07-04,0.2833333333333334,,0.0025,69.66666666666667,66.33333333333333,717.25,0.0,,,68.5,62.66666666666666,14.333333333333336,,0.0,
611,Fresno,57,-119.51592,36.81476,https://www.fire.ca.gov/incidents/2017/7/4/freedom-fire/,2018-01-09,2017-07-04,POINT (-119.51592 36.81476),1645,100.92307692307692,,Fresno,2017-07-04,0.30125,,0.0,62.25,80.625,696.125,0.0,,,63.75,76.875,16.25,,0.0,
